,he1,hi1,b1,h1,he2,hi2,b2,h2,he3,hi3,b3,h3,he4,hi4,b4,h4,T,Weight,Mstar,Part Factor
101,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,1.1024921014275126,338.8521728515625,128.89865064627855,1.2793463930933635
102,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,1.0891223411404578,345.2271728515625,129.91888458773775,1.2791430928301013
103,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,1.0852877037905073,351.6021728515625,131.29297562627713,1.2697194259275142
104,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.3,0.25,0.55,1.1005764883188842,338.8521728515625,121.95291607027386,1.3155109637884679
105,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.35,0.25,0.55,1.090160985356708,343.7271728515625,126.00151079493718,1.2864750621792074
106,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,1.0665626218135773,349.3521728515625,128.1279774153981,1.2844697513567325
107,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,1.0606755185402148,354.9771728515625,130.680664349884,1.2662585351190105
108,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,1.0417336495715526,355.7271728515625,127.45437776951677,1.2955134836628568
109,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,1.035615597278241,361.3521728515625,130.1267262914874,1.2765297563753577
110,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,1.0213335326684987,367.7271728515625,131.4903468969842,1.2749273028389059
111,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,0.25,0.44999999999999996,0.25,0.55,1.0175112334931105,374.1021728515625,133.15003688705423,1.2633722715255782
112,0.3,0.3,0.25,0.4,0.25,0.25,0.25,0.4,0.25,0.25,0.25,0.4,0.25,0.25,0.25,0.4,1.79726135862045,223.92255609375,127.70610544543378,1.2690423944823654
113,0.3,0.3,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.25,0.25,0.4,0.25,0.25,0.25,0.4,1.7017863332869976,228.04755609375,126.20426137527177,1.2909211769423676
114,0.3,0.3,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.25,0.25,0.4,1.6534315411296,232.17255609375002,129.40722739826663,1.2849537896952896
115,0.3,0.3,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,1.6413137194027716,236.29755609375002,132.87435524966259,1.2603908155872456
116,0.3,0.3,0.25,0.4,0.3,0.3,0.25,0.4,0.25,0.25,0.25,0.4,0.25,0.25,0.25,0.4,1.6789530675011919,228.07179906250002,125.7810320935417,1.2975004161187174
117,0.3,0.3,0.25,0.4,0.3,0.3,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.25,0.25,0.4,1.6254664922319884,232.19679906250002,129.1489222507567,1.2922672161251068
118,0.3,0.3,0.25,0.4,0.3,0.3,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.3,0.25,0.4,1.6133015291505544,236.32179906250002,132.6982929755369,1.2672005136178943
119,0.3,0.3,0.25,0.4,0.3,0.3,0.25,0.4,0.3,0.3,0.25,0.4,0.25,0.25,0.25,0.4,1.611289156141105,232.22104203125002,129.9259262000886,1.2921223355499964
